video_name,result,coverage_percent,total_duration_sec,active_windows
Robbery001_x264,Success,16.0,32.56,"[(13.030846800000003, 14.333344280000002), (14.496156465000002, 14.821780835000002), (15.147405205000002, 15.635841760000002), (21.334268235000003, 21.659892605000003), (23.450826640000002, 25.078948490000005), (31.428623705000007, 32.568309)]"
Robbery002_x264,Success,18.0,106.03,"[(1.06837665, 1.598538475), (6.900156725, 9.55096585), (10.081127675, 11.671613149999999), (12.201774975, 12.7319368), (13.262098625, 13.79226045), (14.322422275, 14.8525841), (22.805011475, 23.335173299999997), (27.046306075, 28.106629724999998), (28.636791549999998, 29.166953375), (31.817762499999997, 32.347924324999994), (34.468571624999996, 35.528895274999996), (38.70986622499999, 41.360675349999994), (42.951160824999995, 44.011484474999996), (47.72261724999999, 49.31310272499999), (50.903588199999994, 52.494073674999996), (53.554397325, 54.08455915), (91.1958869, 92.786372375)]"
Robbery003_x264,Success,17.0,32.13,"[(0.004278, 0.64692952), (4.824164400000001, 5.1454901600000005), (9.00139928, 9.6440508), (9.804713679999999, 9.96537656), (14.30327432, 14.94592584), (17.35586904, 17.83785768), (24.42503576, 24.74636152), (24.9070244, 25.06768728), (28.9235964, 30.36956232), (31.17287672, 31.3335396), (31.494202480000002, 31.654865360000002), (31.815528240000003, 32.136854)]"
Robbery004_x264,Success,20.5,50.3,"[(7.04731414, 8.807782675), (11.322737725, 12.58021525), (12.831710755000001, 13.08320626), (13.334701765, 13.586197270000001), (15.095170300000001, 16.60414333), (17.61012535, 17.861620855), (18.11311636, 18.61610737), (18.867602875, 21.13106242), (21.63405343, 22.388539945), (35.466306205, 36.975279235)]"
Robbery005_x264,Success,27.0,91.27,"[(0.006288, 7.763839945), (10.501799455, 10.95812604), (11.414452625, 11.87077921), (12.783432379999999, 13.239758965), (27.842209685, 29.211189440000002), (67.086295995, 72.56221501499999), (74.387521355, 79.40711379), (82.60139988499999, 83.514053055), (83.97037964, 85.79568598), (87.62099232, 88.53364549)]"
Robbery006_x264,Success,11.0,112.63,"[(18.02706064, 20.279727219999998), (29.853560184999996, 30.416726829999998), (37.17472656999999, 38.30105985999999), (41.116893084999994, 42.24322637499999), (43.93272630999999, 44.49589295499999), (52.38022598499999, 53.50655927499999), (56.88555914499999, 57.44872578999999), (74.906891785, 76.03322507499999), (77.159558365, 77.72272500999999), (78.8490583, 79.41222494499999), (83.35439145999999, 84.48072475), (105.88105725999999, 107.57055719499999)]"
Robbery007_x264,Success,9.0,68.0,"[(0.006992, 2.04699497), (38.08704744, 40.127050409999995), (65.96708803, 68.007091)]"
Robbery008_x264,Success,9.0,74.53,"[(20.12987909, 20.875206759999998), (24.974508944999997, 25.347172779999998), (32.42778564499999, 34.291104819999994), (42.86237302499999, 43.98036452999999), (44.72569219999999, 45.09835603499999), (49.94298588999999, 51.80630506499999), (70.06683298, 70.439496815)]"
Robbery009_x264,Success,18.5,105.93,"[(40.25972060000001, 44.4970634), (47.14540265000001, 51.38274545000001), (55.62008825000001, 56.149756100000005), (63.035438150000004, 65.68377740000001), (89.51883065000001, 94.28584130000002), (100.11218765000001, 100.6418555), (101.17152335000002, 103.81986260000001)]"
Robbery010_x264,Success,19.5,101.3,"[(0.007913, 1.02089701), (33.43638533, 33.942877335000006), (51.16360550500001, 52.68308152), (58.254493575000005, 60.786953600000004), (61.293445605, 61.79993761000001), (62.306429615000006, 64.332397635), (80.54014179500001, 81.55312580500001), (85.09856984000001, 91.1764739), (91.682965905, 92.18945791), (93.70893392500001, 97.76086996500001)]"
