video_name,result,coverage_percent,total_duration_sec,active_windows
Shooting001_x264,Success,17.5,8.07,"[(0.004368, 0.08503321), (2.303326485, 2.3839916949999997), (2.58565472, 2.706652535), (2.74698514, 2.867982955), (7.062573875000001, 8.070889)]"
Shooting002_x264,Success,14.5,39.67,"[(2.78326786, 3.17992584), (4.1715707900000005, 4.369899780000001), (5.956531700000001, 6.353189680000001), (15.07966524, 15.277994230000001), (25.59110171, 25.7894307), (25.98775969, 26.38441767), (26.58274666, 26.781075650000002), (28.56603656, 28.76436555), (28.96269454, 29.16102353), (30.94598444, 31.14431343), (31.93762939, 32.13595838), (32.53261636, 35.30922222), (37.49084111, 37.6891701)]"
Shooting003_x264,Success,20.5,75.37,"[(0.005424, 0.38225569499999995), (3.7737409499999996, 4.904236034999999), (25.253147565, 26.006810955), (59.16800011499999, 60.67532689499999), (62.55948536999999, 69.719287575), (70.09611927, 74.61809961)]"
Shooting004_x264,Success,29.5,59.47,"[(0.004832, 0.5994981699999999), (8.032825295, 11.8981554), (14.27682008, 16.65548476), (16.952817845, 18.43948327), (18.736816355000002, 19.331482525), (19.62881561, 22.899479545), (27.062142735000002, 27.35947582), (28.251475075000002, 28.54880816), (30.92747284, 32.414138265), (33.30613752, 34.49546986), (35.090136030000004, 35.387469115), (57.687450489999996, 59.471449)]"
Shooting005_x264,Success,20.5,177.17,"[(0.005858, 3.5491897600000004), (24.809180320000003, 25.695013260000003), (30.124177960000004, 38.98250736000001), (46.06917088000001, 46.95500382000001), (50.49833558000001, 53.15583440000001), (76.18749084000001, 78.84498966000001), (100.10498022000002, 102.76247904000002), (107.19164374000002, 108.07747668000002), (109.84914256000002, 110.73497550000002), (112.50664138000002, 115.16414020000002), (116.04997314000002, 118.70747196000002), (119.59330490000002, 121.36497078000002), (133.76663194, 135.53829782), (173.62911424, 177.172446)]"
Shooting006_x264,Success,11.0,435.1,"[(39.16329576, 41.338796079999995), (43.51429639999999, 45.68979672), (54.391797999999994, 56.56729831999999), (84.84880247999999, 91.37530344), (113.13030663999999, 117.48130727999998), (128.35880888, 130.5343092), (163.166814, 165.34231431999999), (174.04431559999998, 176.21981591999997), (191.44831815999999, 200.15031943999998), (234.95832455999997, 239.3093252), (252.36232711999997, 254.53782743999997), (291.52133288, 293.6968332), (326.329338, 330.68033864), (332.85583895999997, 335.03133928)]"
Shooting007_x264,Success,21.0,47.2,"[(0.007715, 1.4237156), (2.1317159, 5.1997172), (12.2797202, 14.4037211), (26.675726300000004, 28.799727200000003), (46.0277345, 47.207735)]"
Shooting008_x264,Success,26.0,53.5,"[(0.8102641450000001, 12.580251605), (13.38275075, 13.91775018), (24.885238495000003, 25.68773764), (30.50273251, 30.770232225), (33.177729660000004, 33.71272909)]"
Shooting009_x264,Success,18.5,171.6,"[(14.594126375000002, 15.452128750000002), (29.18016675, 30.038169125000003), (36.044185750000004, 38.618192875000005), (43.766207125, 45.482211875000004), (53.20423325, 54.06223562500001), (58.352247500000004, 61.784257000000004), (66.93227125000001, 67.79027362500001), (68.64827600000001, 70.36428075000002), (83.23431637500002, 84.09231875000002), (89.24033300000002, 90.09833537500002), (108.11638525000002, 117.55441137500002), (127.85043987500002, 130.42444700000001), (145.010487375, 149.30049925), (150.158501625, 151.016504)]"
Shooting010_x264,Success,24.0,87.7,"[(0.007024, 1.76101456), (12.28495792, 17.546929600000002), (19.739417800000002, 23.685896560000003), (24.562891840000002, 25.43988712), (25.878384760000003, 30.701858800000004), (38.59481632000001, 39.03331396), (71.48213932, 75.42861808)]"
Shooting011_x264,Success,15.0,132.93,"[(3.3285340249999997, 3.9932008299999997), (15.95720332, 17.951203734999996), (48.525876765, 50.51987718), (69.795214525, 70.45988133), (77.771216185, 78.43588299), (79.7652166, 81.759217015), (87.74121826, 89.07055187), (99.70522075, 101.699221165), (103.028554775, 104.357888385), (109.67522282499999, 110.33988963), (111.66922324, 112.333890045), (112.99855685, 113.663223655), (114.32789045999999, 118.31589129), (123.63322572999999, 124.297892535), (129.61522697499998, 130.27989378)]"
Shooting012_x264,Success,21.5,62.4,"[(0.004432, 0.62842642), (0.9404236300000001, 1.56441805), (8.42835667, 9.67634551), (10.92433435, 11.548328770000001), (39.31608046, 39.940074880000004), (41.812058140000005, 43.06004698), (45.244027450000004, 45.86802187000001), (54.291946540000005, 57.723915850000004), (58.035913060000006, 62.403874)]"
Shooting013_x264,Success,34.0,35.47,"[(0.004496, 7.807161859999999), (29.264492975, 32.98849259), (34.584492425, 35.11649237)]"
Shooting014_x264,Success,17.5,213.13,"[(0.005072, 1.0707353649999998), (2.13639873, 3.2020620949999996), (22.384002664999993, 23.449666029999996), (46.89426005999999, 47.95992342499999), (49.02558678999999, 50.09125015499999), (51.15691351999999, 54.353903614999986), (57.55089370999999, 58.61655707499999), (74.60150754999998, 75.66717091499999), (86.32380456499999, 87.38946792999998), (94.84911148499998, 95.91477484999999), (100.17742830999998, 101.24309167499997), (116.16237878499997, 117.22804214999998), (131.081665895, 132.14732926), (134.27865598999998, 135.34431935499998), (136.40998272, 138.54130945), (168.37988366999997, 171.576873765), (182.233507415, 183.29917077999997), (184.36483414499997, 186.496160875), (188.62748760499997, 195.02146779499998), (202.48111134999996, 203.54677471499997), (205.67810144499998, 209.94075490499998)]"
Shooting015_x264,Success,29.0,56.46,"[(0.004112, 4.52125048), (5.08589279, 8.756067804999999), (9.320710114999999, 10.732315889999999), (22.5898044, 29.365512119999998)]"
Shooting017_x264,Success,26.0,30.8,"[(0.004594, 0.31259231), (1.23658724, 1.390586395), (1.5445855499999999, 4.778567805), (5.24056527, 5.702562735), (20.64048077, 24.490459645)]"
Shooting018_x264,Success,17.0,59.13,"[(0.8942988049999999, 3.5552472199999996), (6.511856569999999, 8.581483114999997), (11.242431529999998, 11.538092464999998), (13.016397139999997, 13.607719009999997), (16.564328359999998, 17.451311164999996), (20.999242384999995, 21.294903319999996), (26.912461084999997, 27.208122019999994), (28.095104824999996, 29.573409499999997), (35.4866282, 36.07795007), (37.556254745, 38.147576615), (53.226284299999996, 53.521945235)]"
Shooting019_x264,Success,13.5,91.77,"[(0.006675, 0.46551027999999994), (36.25466212, 38.090003239999994), (38.54883852, 39.0076738), (39.466509079999994, 40.38417964), (40.843014919999995, 41.3018502), (42.67835604, 43.13719132), (43.596026599999995, 44.51369716), (48.64321468, 49.102049959999995), (50.478555799999995, 50.93739108), (70.66730812, 71.12614339999999), (73.42031979999999, 73.87915507999999), (76.17333147999999, 77.54983732), (87.18537819999999, 90.85606044)]"
