video_name,result,coverage_percent,total_duration_sec,active_windows
Stealing002_x264,Success,26.0,117.15,"[(3.51902545, 4.104769525), (16.4053951, 18.162627325), (26.94878845, 38.077925875000005), (42.178134400000005, 51.550039600000005), (69.708105925, 73.80831445), (86.108940025, 89.623404475)]"
Stealing003_x264,Success,15.0,118.55,"[(0.007571, 4.749598840000001), (5.9351058000000005, 6.527859280000001), (61.061179440000004, 61.65393292), (62.83943988000001, 63.43219336000001), (65.21045380000001, 65.80320728000001), (66.98871424000001, 68.76697468), (69.35972816, 69.95248164), (73.50900252000001, 74.10175600000001), (81.21479776000001, 85.9568256), (93.66262084, 96.62638824000001)]"
Stealing004_x264,Success,15.5,221.08,"[(0.007808, 1.11322015), (6.6402809, 8.851105200000001), (12.167341650000001, 16.588990250000002), (50.8567669, 53.067591199999995), (56.38382765, 57.4892398), (59.7000641, 60.80547625), (61.9108884, 64.1217127), (65.22712485, 66.332537), (68.5433613, 70.7541856), (71.85959775, 72.9650099), (106.1273744, 107.23278655), (121.6031445, 122.70855665), (126.0247931, 128.23561740000002), (173.55751555, 175.76833985000002), (187.9278735, 192.34952210000003), (198.981995, 200.08740715000002), (202.29823145000003, 203.4036436), (204.50905575000002, 206.71988005000003)]"
Stealing006_x264,Success,13.5,106.65,"[(5.3383652999999995, 6.93809859), (8.00458745, 9.07107631), (20.80245377, 21.3356982), (25.06840921, 26.134898070000002), (28.26787579, 28.80112022), (29.86760908, 30.40085351), (36.26654224, 37.86627553), (38.93276439, 39.46600882), (41.06574211, 41.59898654), (43.73196426, 44.26520869), (46.93143084, 47.46467527), (49.59765299, 50.66414185), (92.79045182, 93.85694068), (95.9899184, 97.58965169), (99.72262941, 101.3223627)]"
Stealing007_x264,Success,13.0,102.25,"[(0.007282, 0.51853307), (2.5635373500000003, 3.07478842), (10.743554470000001, 11.766056610000001), (47.55363151, 49.087384719999996), (56.75615077, 61.3574104), (64.93616789000001, 67.49242324000001), (96.12248316000002, 97.14498530000002), (99.18998958, 100.72374279)]"
Stealing008_x264,Success,28.0,166.08,"[(0.0044, 2.495648315), (50.659782405, 53.15103072), (63.11602398, 65.60727229500002), (88.02850713000001, 101.31516481000001), (103.806413125, 110.44974196500002), (132.040560695, 134.53180901000002), (137.85347343, 139.51430564), (142.005553955, 143.666386165), (149.4792989, 154.46179553000002), (157.78345995, 166.087621)]"
Stealing009_x264,Success,25.5,52.88,"[(0.006192, 1.3282269249999998), (2.12144788, 7.40958758), (39.402832765, 42.311309599999994), (43.633344525, 43.89775151), (44.690972464999994, 45.219786434999996), (48.392670255, 51.565554074999994)]"
Stealing010_x264,Success,22.0,100.18,"[(6.516885530000001, 7.01779634), (10.023261200000002, 13.028726060000002), (14.030547680000002, 20.0414774), (21.04329902, 24.54967469), (28.05605036, 29.05787198), (35.56971251, 36.07062332), (36.57153413, 37.072444940000004), (39.076088180000006, 39.57699899000001), (58.61160977000001, 59.61343139000001), (71.13438002, 72.63711245), (84.15806108, 84.65897189), (93.67536647, 97.18174214)]"
Stealing011_x264,Success,25.5,123.02,"[(0.007825, 5.543565250000001), (13.539634500000002, 14.154716750000002), (33.222266499999996, 34.452431), (53.51998075, 54.75014525), (59.67080325, 60.90096775), (62.13113225, 63.36129675), (64.59146125000001, 65.20654350000001), (94.7304915, 95.34557375), (95.960656, 99.6511495), (105.801972, 121.17902825)]"
Stealing012_x264,Success,28.0,89.52,"[(0.007329, 0.45490796), (8.958908200000002, 14.329855720000001), (25.96690868, 35.36606684), (39.39427748, 39.84185644), (43.87006708, 46.55554084), (67.59175196, 68.03933092), (71.17238364, 74.75301532), (75.20059428, 75.64817324), (82.8094366, 83.70459452), (84.59975244, 85.94248932)]"
