video_name,result,coverage_percent,total_duration_sec,active_windows
RoadAccidents001_x264,Success,19.0,44.26,"[(np.float64(5.75981549), np.float64(8.857901600000002)), (np.float64(13.283738900000001), np.float64(13.505030765)), (np.float64(13.72632263), np.float64(18.59474366)), (np.float64(27.667710125), np.float64(27.88900199))]"
RoadAccidents002_x264,Success,17.0,11.07,"[(np.float64(0.33812204), np.float64(0.39345438000000005)), (np.float64(2.55141564), np.float64(2.6067479799999997)), (np.float64(7.475993900000001), np.float64(8.8593024)), (np.float64(8.91463474), np.float64(9.02529942)), (np.float64(9.080631760000001), np.float64(9.24662878)), (np.float64(9.30196112), np.float64(9.4126258))]"
RoadAccidents003_x264,Success,24.5,48.8,"[(np.float64(0.007433), np.float64(0.25143206500000004)), (np.float64(6.83940682), np.float64(10.743391860000001)), (np.float64(15.867372225000002), np.float64(17.331366615)), (np.float64(17.57536568), np.float64(18.06336381)), (np.float64(26.603331085), np.float64(26.84733015)), (np.float64(28.799322670000002), np.float64(29.2873208)), (np.float64(29.531319865), np.float64(29.77531893)), (np.float64(31.483312385), np.float64(32.703307710000004)), (np.float64(37.827288075), np.float64(38.07128714)), (np.float64(38.559285270000004), np.float64(39.53528153)), (np.float64(46.36725535), np.float64(48.807246))]"
RoadAccidents004_x264,Success,9.5,12.37,"[(np.float64(0.006209), np.float64(0.12987262)), (np.float64(3.8397812200000003), np.float64(3.90161303)), (np.float64(4.02527665), np.float64(4.14894027)), (np.float64(4.21077208), np.float64(4.3344357)), (np.float64(4.64359475), np.float64(4.70542656)), (np.float64(4.829090180000001), np.float64(4.9527538)), (np.float64(5.01458561), np.float64(5.1382492300000004)), (np.float64(5.200081040000001), np.float64(5.32374466)), (np.float64(5.44740828), np.float64(5.5092400900000005)), (np.float64(5.63290371), np.float64(5.75656733)), (np.float64(7.24053077), np.float64(7.3023625800000005)), (np.float64(7.6733534400000005), np.float64(7.735185250000001))]"
RoadAccidents005_x264,Success,17.5,6.77,"[(np.float64(0.8866318499999999), np.float64(1.02197075)), (np.float64(1.0896401999999998), np.float64(1.2926485499999998)), (np.float64(1.3264832749999997), np.float64(1.4279874499999998)), (np.float64(1.4618221749999998), np.float64(1.5294916249999997)), (np.float64(1.5633263499999999), np.float64(1.5971610749999998)), (np.float64(1.6648305249999997), np.float64(1.8001694249999998)), (np.float64(1.8340041499999997), np.float64(1.9693430499999998)), (np.float64(2.0708472249999996), np.float64(2.206186125)), (np.float64(2.3076902999999995), np.float64(2.3415250249999997)), (np.float64(2.544533375), np.float64(2.5783680999999996)), (np.float64(3.0520542499999994), np.float64(3.1535584249999995)), (np.float64(3.9655918249999993), np.float64(3.9994265499999995)), (np.float64(6.740039275), np.float64(6.773874))]"
RoadAccidents006_x264,Success,12.5,55.57,"[(np.float64(0.007148), np.float64(0.56280811)), (np.float64(0.840638165), np.float64(1.1184682199999998)), (np.float64(4.1745988249999995), np.float64(4.452428879999999)), (np.float64(6.119409209999999), np.float64(8.34204965)), (np.float64(13.620820694999999), np.float64(14.732140914999999)), (np.float64(16.399121245), np.float64(16.954781354999998)), (np.float64(20.288742014999997), np.float64(20.844402125)), (np.float64(34.45807481999999), np.float64(34.735904874999996)), (np.float64(48.627407625), np.float64(49.73872784499999))]"
RoadAccidents007_x264,Success,33.5,35.93,"[(np.float64(0.004164), np.float64(9.167333999999999)), (np.float64(15.815123999999999), np.float64(15.994793999999999)), (np.float64(22.462913999999998), np.float64(23.540934)), (np.float64(24.079943999999998), np.float64(25.337633999999998)), (np.float64(35.578824000000004), np.float64(35.938164))]"
RoadAccidents008_x264,Success,15.0,43.43,"[(np.float64(6.954064640000001), np.float64(11.29747504)), (np.float64(11.948986600000001), np.float64(14.120691800000001))]"
RoadAccidents009_x264,Success,20.5,30.0,"[(np.float64(0.006484), np.float64(0.7564859250000001)), (np.float64(3.6064932400000003), np.float64(8.556505945000001)), (np.float64(29.556559845000002), np.float64(30.006561))]"
RoadAccidents010_x264,Success,26.5,16.9,"[(np.float64(0.9359172100000002), np.float64(1.44294187)), (np.float64(2.79500763), np.float64(3.30203229)), (np.float64(5.9216597), np.float64(9.048311770000002)), (np.float64(10.31587342), np.float64(10.653889860000001))]"
RoadAccidents011_x264,Success,8.5,71.37,"[(np.float64(29.9784381), np.float64(31.048948425000003)), (np.float64(56.027522675), np.float64(57.81170655)), (np.float64(58.168543324999995), np.float64(58.5253801)), (np.float64(59.595890425), np.float64(60.666400749999994)), (np.float64(61.023237525), np.float64(61.736911074999995)), (np.float64(62.09374785), np.float64(62.807421399999996)), (np.float64(63.164258175), np.float64(63.52109495))]"
RoadAccidents012_x264,Success,23.0,15.0,"[(np.float64(0.004592), np.float64(0.45460193)), (np.float64(5.25470785), np.float64(7.279752535)), (np.float64(7.80476412), np.float64(7.9547674299999995)), (np.float64(8.25477405), np.float64(8.329775705000001)), (np.float64(8.479779015), np.float64(9.15479391)), (np.float64(9.304797220000001), np.float64(9.379798875))]"
RoadAccidents013_x264,Success,16.5,57.03,"[(np.float64(0.007234), np.float64(0.292401195)), (np.float64(10.84358741), np.float64(16.832098505)), (np.float64(41.356477274999996), np.float64(42.211978859999995)), (np.float64(42.497146054999995), np.float64(42.782313249999994)), (np.float64(43.067480444999994), np.float64(43.63781483499999)), (np.float64(46.77465398), np.float64(47.344988369999996)), (np.float64(51.05216190499999), np.float64(51.33732909999999)), (np.float64(54.474168244999994), np.float64(54.759335439999994)), (np.float64(56.75550580499999), np.float64(57.040673))]"
RoadAccidents014_x264,Success,18.0,395.87,"[(np.float64(0.006389), np.float64(7.92372296)), (np.float64(19.799723899999996), np.float64(21.77905739)), (np.float64(37.61372531), np.float64(39.593058799999994)), (np.float64(41.572392289999996), np.float64(43.55172578)), (np.float64(47.510392759999995), np.float64(49.48972625)), (np.float64(57.40706021), np.float64(59.3863937)), (np.float64(67.30372765999999), np.float64(69.28306115)), (np.float64(75.22106162), np.float64(77.20039511)), (np.float64(98.9730635), np.float64(102.93173048)), (np.float64(106.89039745999999), np.float64(110.84906443999999)), (np.float64(114.80773142), np.float64(118.7663984)), (np.float64(144.49773377), np.float64(148.45640075)), (np.float64(188.04307055), np.float64(192.00173753)), (np.float64(193.98107102), np.float64(197.939738)), (np.float64(215.75373941), np.float64(217.7330729)), (np.float64(221.69173988), np.float64(223.67107337000002)), (np.float64(227.62974035), np.float64(229.60907384)), (np.float64(241.48507478), np.float64(245.44374176)), (np.float64(251.38174223000001), np.float64(253.36107572)), (np.float64(255.34040921), np.float64(259.29907619)), (np.float64(265.23707666), np.float64(269.19574364)), (np.float64(275.13374411), np.float64(277.1130776)), (np.float64(290.96841203), np.float64(292.94774552)), (np.float64(298.88574599), np.float64(300.86507948))]"
